name,ingredients,diet,prep_time,cook_time,total_time,difficulty,flavor_profile,course,state,region,img_url,instructions
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,60,Hard,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/adhirasam.jpg,"In a large mixing bowl, combine 1 cup of rice flour and 1/2 cup of jaggery powder, and mix well until the jaggery is evenly distributed.
Add 1/4 teaspoon of elachi powder to the mixture and mix well.
Gradually add 1/4 cup of ghee to the mixture and mix until it forms a smooth dough.
Knead the dough for 5-7 minutes until it becomes soft and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small balls, about the size of a small lemon.
Heat 2-3 inches of vegetable oil in a deep frying pan over medium heat.
When the oil is hot, carefully slide in a few dough balls and fry until they are golden brown, about 3-4 minutes.
Remove the fried adhirasam from the oil with a slotted spoon and place them on a paper towel-lined plate to drain excess oil.
Repeat the frying process with the remaining dough balls.
Let the adhirasam cool completely before storing them in an airtight container."
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,30,Medium,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/11/gobi-masala-recipe-500x500.jpg,"Peel and dice the potato into small cubes and set aside.
Rinse the cauliflower florets and pat them dry with a paper towel to remove excess moisture.
Heat 2 tablespoons of oil in a large pan over medium heat and add the curry leaves, letting them sizzle for a few seconds.
Add the diced potato to the pan and sauté until they start to turn light golden brown, about 5 minutes.
Add the cauliflower florets to the pan and stir well to combine with the potatoes and curry leaves.
Sprinkle the turmeric powder over the vegetables and stir well to coat evenly.
Sprinkle the garam masala powder over the vegetables and stir well to combine.
Continue to cook the vegetables for another 10-12 minutes, stirring occasionally, until they are tender and lightly browned.
Season with salt to taste, then serve hot."
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,45,Hard,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/12/aloo-matar-gravy-recipe-500x500.jpg,"Peel and dice the potatoes into small cubes and set aside.
Heat oil in a pan over medium heat and sauté the diced chillies until they start to soften.
Add the minced ginger and garlic to the pan and sauté for another minute until fragrant.
Add the diced potatoes to the pan and sauté for about 5 minutes until they start to brown.
Add a cup of water to the pan and bring to a boil, then reduce the heat to low and let the potatoes cook until they are half-done.
Add the peas to the pan and stir well to combine with the potatoes and spices.
Add the garam masala powder to the pan and stir well to combine.
Continue to cook the mixture for another 5-7 minutes until the potatoes are fully cooked and the peas are tender.
Season with salt to taste, then remove from heat and serve hot."
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,50,Hard,bitter,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/aloo-methi-1-1152x1536.jpg,"Heat 2 tablespoons of oil in a pan over medium heat.
Add 2-3 chopped green chillies to the pan and sauté for 1 minute.
Add 2 cups of chopped fenugreek leaves to the pan and sauté until they are wilted and reduced in size.
Peel and dice 2 large potatoes into small cubes and add them to the pan.
Sprinkle 1 teaspoon of salt over the potatoes and mix well.
Mix everything together and sauté for 5-7 minutes or until the potatoes are cooked through and golden brown.
Serve hot."
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,50,Hard,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2014/06/bharwan-shimla-mirch-recipe-500x500.jpg,"Peel and dice the potatoes into small cubes and wash them thoroughly.
Heat a non-stick pan over medium heat and add the diced potatoes to it.
Let the potatoes cook for 5-7 minutes or until they are half-cooked, stirring occasionally.
Add 1-2 diced shimla mirch to the pan and sauté for another 2-3 minutes.
Sprinkle 1/2 teaspoon of garam masala powder over the potatoes and shimla mirch and mix well.
Add 1/4 teaspoon of amchur powder and salt to taste to the pan and mix again.
Continue cooking for another 2-3 minutes or until the potatoes are fully cooked and the shimla mirch is tender.
Serve the aloo shimla mirch hot, garnished with additional shimla mirch if desired."
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,25,Medium,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/12/aloo-tikki-chole-500x500.jpg,"Boil the potatoes until they are fully cooked, then let them cool down.
Mash the cooled potatoes in a bowl until they are smooth.
Add salt and garam masala to the mashed potatoes and mix well.
Divide the potato mixture into 6-8 portions, depending on how large you want your tikkis to be.
Shape each portion into a round patty, about 1-2 inches thick.
In a shallow dish, mix together rice flour and bread crumbs.
Coat each potato patty with the rice flour and bread crumb mixture, pressing gently to adhere.
Heat a non-stick pan or griddle over medium heat and add a small amount of oil.
When the oil is hot, add the coated potato patties and cook for 3-4 minutes on each side, until they are golden brown and crispy.
Serve hot and enjoy!"
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,25,Medium,spicy,main course,Assam,North East,https://www.pepperonpizza.com/wp-content/uploads/2019/04/Assamese-Aloo-Pitika-1024x768.jpg?ezimgfmt=ng:webp/ngcb10,"Peel and boil 2-3 medium-sized potatoes until they are tender, then mash them in a bowl.
Heat 2 tablespoons of mustard oil in a pan over medium heat.
Add 1-2 green chillies, chopped, to the pan and sauté until they start to change color.
Add 1-2 pieces of fish, chopped, to the pan and cook until they are browned and cooked through.
Add the mashed potatoes to the pan and stir well to combine with the fish and green chillies.
Cook for an additional 2-3 minutes, stirring constantly, until the mixture is heated through and well combined.
Remove the pan from the heat and serve the Alu Pitika hot."
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,55,Hard,spicy,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2014/02/amti-recipe.jpg,"Rinse the arhar dal and soak it in hot water for at least 30 minutes.
Drain the water and blend the soaked dal into a smooth paste using a blender or grinder.
Heat a pan over medium heat and add 1 teaspoon of oil to it.
Add 1 teaspoon of mustard seeds to the pan and let them sizzle for a few seconds.
Add 5-6 curry leaves to the pan and sauté them until they turn fragrant.
Add the blended dal paste to the pan and sauté it for 2-3 minutes, stirring constantly.
Add 1 teaspoon of kala masala powder to the pan and mix it well with the dal paste.
Add 2 cups of hot water to the pan and mix it well with the dal paste.
Bring the mixture to a boil, then reduce the heat to low and let it simmer for 10-15 minutes or until the dal is cooked.
Serve the amti hot, garnished with additional curry leaves if desired."
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,60,Hard,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/anarsa.jpg,"Roast the rice flour in a pan over medium heat, stirring constantly, until it turns light brown and fragrant.
Remove the pan from the heat and let the roasted rice flour cool completely.
Grind the cooled rice flour into a fine powder using a blender or grinder.
In a large mixing bowl, combine the ground rice flour and powdered jaggery, and mix well until the jaggery is fully incorporated.
Add the khus-khus seeds to the bowl and mix until they are evenly distributed throughout the mixture.
Gradually add a small amount of water to the bowl, mixing continuously, until a dough forms.
Knead the dough for about 5 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small portions, about the size of a small lemon.
Shape each portion into a ball and then flatten it slightly into a disk shape.
Heat a non-stick pan or griddle over medium heat and cook the anarsa disks for about 2-3 minutes on each side, until they are golden brown and crispy.
Remove the anarsa from the pan and let them cool completely on a wire rack."
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,90,Hard,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/ariselu-1.jpg,"In a large mixing bowl, combine 2 cups of rice flour and a pinch of salt.
Gradually add 1/2 cup of lukewarm water to the rice flour mixture and mix well to form a smooth dough.
Knead the dough for 5-7 minutes until it becomes soft and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into small balls, about the size of a small lemon.
Flatten each ball into a thin circle, about 3-4 inches in diameter.
Place 1-2 teaspoons of jaggery in the center of each circle.
Fold the dough over the jaggery to form a half-moon shape and press the edges together to seal.
Heat 1-2 tablespoons of ghee in a non-stick pan over medium heat.
When the ghee is hot, add a few ariselu to the pan (do not overcrowd) and cook for 2-3 minutes on each side, until they are golden brown.
Remove the cooked ariselu from the pan and place them on a paper towel-lined plate to drain excess ghee.
Repeat the cooking process with the remaining ariselu.
Let the ariselu cool completely before storing them in an airtight container."
